,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-05-01,166.448153890304,145.81056899642473,186.4069864842064,166.448153890304,166.448153890304,0.5435657732854281,0.5435657732854281,0.5435657732854281,0.5435657732854281,0.5435657732854281,0.5435657732854281,0.0,0.0,0.0,166.99171966358944
1,2023-05-02,167.9249560175635,149.87862841918755,191.53574452819663,167.9249560175635,167.9249560175635,2.437284364790285,2.437284364790285,2.437284364790285,2.437284364790285,2.437284364790285,2.437284364790285,0.0,0.0,0.0,170.36224038235378
2,2023-05-03,169.40175814482302,150.30798982817174,190.96020979333449,169.40175814482302,169.40175814482302,1.736801504085253,1.736801504085253,1.736801504085253,1.736801504085253,1.736801504085253,1.736801504085253,0.0,0.0,0.0,171.13855964890828
3,2023-05-04,170.87856027208252,149.08053638325939,190.96975772992633,170.87856027208252,170.87856027208252,0.5498611290630464,0.5498611290630464,0.5498611290630464,0.5498611290630464,0.5498611290630464,0.5498611290630464,0.0,0.0,0.0,171.42842140114556
4,2023-05-05,172.35536239934203,152.31744516515113,192.42523619705597,172.35536239934203,172.35536239934203,0.03651386200299878,0.03651386200299878,0.03651386200299878,0.03651386200299878,0.03651386200299878,0.03651386200299878,0.0,0.0,0.0,172.39187626134503
5,2023-05-08,176.78576878112054,158.2157816956064,198.49648572004196,176.78576878112054,176.78576878112054,0.5435657732883732,0.5435657732883732,0.5435657732883732,0.5435657732883732,0.5435657732883732,0.5435657732883732,0.0,0.0,0.0,177.32933455440892
6,2023-05-09,178.26257090838004,160.76838204046433,201.4883832336017,178.26257090838004,178.26257090838004,2.437284364791412,2.437284364791412,2.437284364791412,2.437284364791412,2.437284364791412,2.437284364791412,0.0,0.0,0.0,180.69985527317147
7,2023-05-10,179.73937303563957,160.91926895411046,202.05957267920957,179.73937303563957,179.73937303563957,1.7368015040835914,1.7368015040835914,1.7368015040835914,1.7368015040835914,1.7368015040835914,1.7368015040835914,0.0,0.0,0.0,181.47617453972316
8,2023-05-11,181.21617516289908,161.2222726413551,202.94888885977497,181.21617516289908,181.21617516289908,0.5498611290626888,0.5498611290626888,0.5498611290626888,0.5498611290626888,0.5498611290626888,0.5498611290626888,0.0,0.0,0.0,181.76603629196177
9,2023-05-12,182.69297729038232,161.1534902583093,202.2411212393718,182.69297729038232,182.69297729038232,0.03651386200197743,0.03651386200197743,0.03651386200197743,0.03651386200197743,0.03651386200197743,0.03651386200197743,0.0,0.0,0.0,182.7294911523843
